ID,Pos,Type
DE0846_HCMC_2001,8,type2
MS0034_HCMC_1995,8,type2
EG1017_HCMC_2009,6,type2
KH18_HCMC_2009,5,type2
10365_HCMC_2010,7,type2
EG1021_HCMC_2009,1,type1
EG0386_HCMC_2007,4,type1
DE1336_HCMC_2002,6,type2
30174_HCMC_2009,1,type1
KH29_HCMC_2009,3,type1
HUE50_HCMC_2009,7,type2
DE0490_HCMC_2000,8,type2
20037_HCMC_2009,5,type2
HUE20_HCMC_2009,8,type2
KH42_HCMC_2010,8,type2
KH57_HCMC_2010,6,type2
HUE31_HCMC_2009,4,type1
KH43_HCMC_2010,8,type2
HUE26_HCMC_2009,6,type2
HUE32_HCMC_2009,7,type2
KH43_HCMC_2010,4,type1
10031_HCMC_2009,5,type2
EG0467_HCMC_2008,6,type2
KH05_HCMC_2009,3,type1
MS0128_HCMC_1996,5,type2
KH04_HCMC_2009,6,type2
10135_HCMC_2009,5,type2
HUE68_HCMC_2010,8,type2
HUE17_HCMC_2009,1,type1
10102_HCMC_2009,4,type1
30010_HCMC_2009,4,type1
KH35_HCMC_2009,6,type2
KH32_HCMC_2009,3,type1
EG1024_HCMC_2009,7,type2
EG1001_HCMC_2008,1,type1
EG1021_HCMC_2009,4,type1
10102_HCMC_2009,3,type1
KH34_HCMC_2009,4,type1
20263_HCMC_2009,3,type1
MS0083_HCMC_1996,1,type1
DE1208_HCMC_2002,1,type1
20261_HCMC_2009,4,type1
HUE50_HCMC_2009,5,type2
KH42_HCMC_2010,2,type1
EG1023_HCMC_2009,4,type1
HUE20_HCMC_2009,2,type1
EG0404_HCMC_2007,6,type2
KH26_HCMC_2009,4,type1
10060_HCMC_2009,3,type1
DE1336_HCMC_2002,2,type1
MS0048_HCMC_1995,6,type2
HUE24_HCMC_2009,2,type1
EG0373_HCMC_2007,2,type1
30164_HCMC_2009,3,type1
20094_HCMC_2009,6,type2
DE0303_HCMC_2000,6,type2
HUE20_HCMC_2009,4,type1
20228_HCMC_2009,3,type1
20006_HCMC_2009,4,type1
HUE21_HCMC_2009,4,type1
10093_HCMC_2009,8,type2
KH34_HCMC_2009,7,type2
EG0472_HCMC_2008,7,type2
20006_HCMC_2009,6,type2
DE1198_HCMC_2002,7,type2
10115_HCMC_2009,1,type1
KH02_HCMC_2009,6,type2
DE1150_HCMC_2002,4,type1
DE0490_HCMC_2000,6,type2
HUE05_HCMC_2008,7,type2
EG1025_HCMC_2009,7,type2
10021_HCMC_2009,3,type1
MS0048_HCMC_1995,7,type2
EG0392_HCMC_2007,2,type1
KH29_HCMC_2009,7,type2
EG0365_HCMC_2007,4,type1
EG0379_HCMC_2007,7,type2
MS0004_HCMC_1995,4,type1
10135_HCMC_2009,8,type2
10263_HCMC_2009,2,type1
HUE46_HCMC_2009,2,type1
HUE24_HCMC_2009,3,type1
10063_HCMC_2009,7,type2
MS0048_HCMC_1995,8,type2
EG0425_HCMC_2008,4,type1
30233_HCMC_2009,5,type2
10159_HCMC_2009,8,type2
EG0372_HCMC_2007,6,type2
MS0063_HCMC_1995,3,type1
MS0119_HCMC_1996,8,type2
DE1165_HCMC_2002,1,type1
30112_HCMC_2009,1,type1
DE0306_HCMC_2000,3,type1
EG1008_HCMC_2008,4,type1
HUE40_HCMC_2009,2,type1
MS0065_HCMC_1995,5,type2
EG1004_HCMC_2008,2,type1
DE1318_HCMC_2002,2,type1
KH32_HCMC_2009,8,type2
EG0451_HCMC_2008,2,type1
KH37_HCMC_2009,3,type1
MS0070_HCMC_1995,3,type1
10073_HCMC_2009,3,type1
KH15_HCMC_2009,4,type1
KH19_HCMC_2009,8,type2
EG0383_HCMC_2007,8,type2
20037_HCMC_2009,3,type1
KH13_HCMC_2009,7,type2
10063_HCMC_2009,8,type2
30451_HCMC_2010,5,type2
10159_HCMC_2009,2,type1
DE0248_HCMC_2000,7,type2
10014_HCMC_2009,3,type1
HUE53_HCMC_2010,3,type1
MS0119_HCMC_1996,6,type2
KH57_HCMC_2010,5,type2
DE1140_HCMC_2002,2,type1
KH41_HCMC_2009,4,type1
MS0110_HCMC_1996,7,type2
KH43_HCMC_2010,7,type2
30037_HCMC_2009,3,type1
20021_HCMC_2009,7,type2
EG0451_HCMC_2008,3,type1
30366_HCMC_2009,1,type1
EG1008_HCMC_2008,8,type2
KH10_HCMC_2009,1,type1
10188_HCMC_2009,8,type2
MS0069_HCMC_1995,4,type1
EG1017_HCMC_2009,1,type1
EG1014_HCMC_2009,8,type2
20023_HCMC_2009,7,type2
10111_HCMC_2009,2,type1
EG0315_HCMC_2006,1,type1
MS0070_HCMC_1995,5,type2
EG1025_HCMC_2009,1,type1
EG0401_HCMC_2007,1,type1
30450_HCMC_2010,5,type2
DE1209_HCMC_2002,8,type2
MS0128_HCMC_1996,7,type2
KH29_HCMC_2009,2,type1
KH30_HCMC_2009,7,type2
MS0048_HCMC_1995,3,type1
EG1020_HCMC_2009,3,type1
HUE32_HCMC_2009,1,type1
DE1165_HCMC_2002,3,type1
KH05_HCMC_2009,4,type1
DE0816_HCMC_2001,3,type1
KH21_HCMC_2009,1,type1
EG0373_HCMC_2007,6,type2
20021_HCMC_2009,4,type1
MS0102_HCMC_1996,5,type2
DE0489_HCMC_2000,2,type1
HUE42_HCMC_2009,2,type1
MS0110_HCMC_1996,1,type1
EG0385_HCMC_2007,3,type1
MS0039_HCMC_1995,1,type1
DE0306_HCMC_2000,8,type2
DE0477_HCMC_2000,8,type2
30162_HCMC_2009,7,type2
MS0069_HCMC_1995,8,type2
20263_HCMC_2009,4,type1
20006_HCMC_2009,7,type2
30071_HCMC_2009,1,type1
30010_HCMC_2009,3,type1
KH11_HCMC_2009,8,type2
